Column	Data Type
msoc_humi_relat___1	int64
msoc_humi_relat___2	int64
msoc_humi_relat___3	int64
msoc_humi_relat___4	int64
msoc_humi_relat___5	int64
msoc_humi_relat___6	int64
msoc_humi_relat___7	int64
msoc_humi_relat___8	int64
msoc_humi_relat_s	object
msoc_forb	float64
msoc_forb_period___1	int64
msoc_forb_period___2	int64
msoc_forb_period___3	int64
msoc_forb_period___4	int64
msoc_forb_period___5	int64
msoc_forb_period___6	int64
msoc_forb_period___7	int64
msoc_forb_relat___1	int64
msoc_forb_relat___2	int64
msoc_forb_relat___3	int64
msoc_forb_relat___4	int64
msoc_forb_relat___5	int64
msoc_forb_relat___6	int64
msoc_forb_relat___7	int64
msoc_forb_relat___8	int64
msoc_forb_relat_s	object
msoc_prov	float64
msoc_prov_period___1	int64
msoc_prov_period___2	int64
msoc_prov_period___3	int64
msoc_prov_period___4	int64
msoc_prov_period___5	int64
msoc_prov_period___6	int64
msoc_prov_period___7	int64
msoc_prov_relat___1	int64
msoc_prov_relat___2	int64
msoc_prov_relat___3	int64
msoc_prov_relat___4	int64
msoc_prov_relat___5	int64
msoc_prov_relat___6	int64
msoc_prov_relat___7	int64
msoc_prov_relat___8	int64
msoc_prov_relat_s	object
msoc_mon	float64
msoc_mon_period___1	int64
msoc_mon_period___2	int64
msoc_mon_period___3	int64
msoc_mon_period___4	int64
msoc_mon_period___5	int64
msoc_mon_period___6	int64
msoc_mon_period___7	int64
msoc_mon_relat___1	int64
msoc_mon_relat___2	int64
msoc_mon_relat___3	int64
msoc_mon_relat___4	int64
msoc_mon_relat___5	int64
msoc_mon_relat___6	int64
msoc_mon_relat___7	int64
msoc_mon_relat___8	int64
msoc_mon_relat_s	float64
msoc_prop	float64
msoc_prop_period___1	int64
msoc_prop_period___2	int64
msoc_prop_period___3	int64
msoc_prop_period___4	int64
msoc_prop_period___5	int64
msoc_prop_period___6	int64
msoc_prop_period___7	int64
msoc_prop_relat___1	int64
msoc_prop_relat___2	int64
msoc_prop_relat___3	int64
msoc_prop_relat___4	int64
msoc_prop_relat___5	int64
msoc_prop_relat___6	int64
msoc_prop_relat___7	int64
msoc_prop_relat___8	int64
msoc_prop_relat_s	object
msoc_deman	float64
msoc_deman_period___1	int64
msoc_deman_period___2	int64
msoc_deman_period___3	int64
msoc_deman_period___4	int64
msoc_deman_period___5	int64
msoc_deman_period___6	int64
msoc_deman_period___7	int64
msoc_deman_relat___1	int64
msoc_deman_relat___2	int64
msoc_deman_relat___3	int64
msoc_deman_relat___4	int64
msoc_deman_relat___5	int64
msoc_deman_relat___6	int64
msoc_deman_relat___7	int64
msoc_deman_relat___8	int64
msoc_deman_relat_s	object
msoc_45rev_2	float64
msoc_45arev_2___1	int64
msoc_45arev_2___2	int64
msoc_45arev_2___3	int64
msoc_45arev_2___4	int64
msoc_45arev_2___5	int64
msoc_45arev_2___6	int64
msoc_45arev_2___7	int64
msoc_45rev_3	float64
msoc_45arev_3___1	int64
msoc_45arev_3___2	int64
msoc_45arev_3___3	int64
msoc_45arev_3___4	int64
msoc_45arev_3___5	int64
msoc_45arev_3___6	int64
msoc_45arev_3___7	int64
msoc_45rev_4	float64
msoc_45arev_4___1	int64
msoc_45arev_4___2	int64
msoc_45arev_4___3	int64
msoc_45arev_4___4	int64
msoc_45arev_4___5	int64
msoc_45arev_4___6	int64
msoc_45arev_4___7	int64
msoc_45rev_5	float64
msoc_45arev_5___1	int64
msoc_45arev_5___2	int64
msoc_45arev_5___3	int64
msoc_45arev_5___4	int64
msoc_45arev_5___5	int64
msoc_45arev_5___6	int64
msoc_45arev_5___7	int64
msoc_45rev_6	float64
msoc_45arev_6___1	int64
msoc_45arev_6___2	int64
msoc_45arev_6___3	int64
msoc_45arev_6___4	int64
msoc_45arev_6___5	int64
msoc_45arev_6___6	int64
msoc_45arev_6___7	int64
msoc_45rev_7	float64
msoc_45arev_7___1	int64
msoc_45arev_7___2	int64
msoc_45arev_7___3	int64
msoc_45arev_7___4	int64
msoc_45arev_7___5	int64
msoc_45arev_7___6	int64
msoc_45arev_7___7	int64
msoc_45rev_8	float64
msoc_45arev_8___1	int64
msoc_45arev_8___2	int64
msoc_45arev_8___3	int64
msoc_45arev_8___4	int64
msoc_45arev_8___5	int64
msoc_45arev_8___6	int64
msoc_45arev_8___7	int64
msoc_52rev	float64
msoc_52revb	float64
msoc_52arev_2___1	int64
msoc_52arev_2___2	int64
msoc_52arev_2___3	int64
msoc_52arev_2___4	int64
msoc_52arev_2___5	int64
msoc_52arev_2___6	int64
msoc_52arev_2___7	int64
msoc_52a_1arev	float64
msoc_52a_1brev	float64
msoc_52a_1brev_s	object
msoc_52a_2arev	float64
msoc_52a_2brev	float64
msoc_52a_2brev_s	object
msoc_52a_3arev	float64
msoc_52a_3brev	float64
msoc_52a_3brev_s	object
msoc_52a_4arev	float64
msoc_52a_4brev	float64
msoc_52a_4brev_s	object
msoc_52a_5arev	float64
msoc_52a_5brev	float64
msoc_52a_5brev_s	object
msoc_52a_6arev	float64
msoc_52a_6brev	float64
msoc_52a_6brev_s	object
msoc_52a_7arev	float64
msoc_52a_7brev	float64
msoc_52a_7brev_s	object
msoc_53rev	float64
msoc_53revb	float64
msoc_53arev___1	int64
msoc_53arev___2	int64
msoc_53arev___3	int64
msoc_53arev___4	int64
msoc_53arev___5	int64
msoc_53arev___6	int64
msoc_53arev___7	int64
msoc_53a_1arev	float64
msoc_53a_1brev	float64
msoc_53a_1brev_s	float64
msoc_53a_2arev	float64
msoc_53a_2brev	float64
msoc_53a_2brev_s	float64
msoc_53a_3arev	float64
msoc_53a_3brev	float64
msoc_53a_3brev_s	object
msoc_53a_4arev	float64
msoc_53a_4brev	float64
msoc_53a_4brev_s	float64
msoc_53a_5arev	float64
msoc_53a_5brev	float64
msoc_53a_5brev_s	float64
msoc_53a_6arev	float64
msoc_53a_6brev	float64
msoc_53a_6brev_s	float64
msoc_53a_7arev	float64
msoc_53a_7brev	float64
msoc_53a_7brev_s	float64
msoc_54rev	float64
msoc_54revb	float64
msoc_54arev___1	int64
msoc_54arev___2	int64
msoc_54arev___3	int64
msoc_54arev___4	int64
msoc_54arev___5	int64
msoc_54arev___6	int64
msoc_54arev___7	int64
msoc_54a_1arev	float64
msoc_54a_1brev	float64
msoc_54a_1brev_s	object
msoc_54a_2arev	float64
msoc_54a_2brev	float64
msoc_54a_2brev_s	object
msoc_54a_3arev	float64
msoc_54a_3brev	float64
msoc_54a_3brev_s	object
msoc_54a_4arev	float64
msoc_54a_4brev	float64
msoc_54a_4brev_s	object
msoc_54a_5arev	float64
msoc_54a_5brev	float64
msoc_54a_5brev_s	object
msoc_54a_6arev	float64
msoc_54a_6brev	float64
msoc_54a_6brev_s	object
msoc_54a_7arev	float64
msoc_54a_7brev	float64
msoc_54a_7brev_s	object
msoc_55rev	float64
msoc_55arev___1	int64
msoc_55arev___2	int64
msoc_55arev___3	int64
msoc_55arev___4	int64
msoc_55arev___5	int64
msoc_55arev___6	int64
msoc_55arev___7	int64
msoc_55a_1arev	float64
msoc_55a_1brev	float64
msoc_55a_1brev_s	float64
msoc_55a_2arev	float64
msoc_55a_2brev	float64
msoc_55a_2brev_s	object
msoc_55a_3arev	float64
msoc_55a_3brev	float64
msoc_55a_3brev_s	float64
msoc_55a_4arev	float64
msoc_55a_4brev	float64
msoc_55a_4brev_s	float64
msoc_55a_5arev	float64
msoc_55a_5brev	float64
msoc_55a_5brev_s	object
msoc_55a_6arev	float64
msoc_55a_6brev	float64
msoc_55a_6brev_s	object
msoc_55a_7arev	float64
msoc_55a_7brev	float64
msoc_55a_7brev_s	float64
msoc_56rev	float64
msoc_56arev___1	int64
msoc_56arev___2	int64
msoc_56arev___3	int64
msoc_56arev___4	int64
msoc_56arev___5	int64
msoc_56arev___6	int64
msoc_56arev___7	int64
msoc_56a_1arev	float64
msoc_56a_1brev	float64
msoc_56a_1brev_s	object
msoc_56a_2arev	float64
msoc_56a_2brev	float64
msoc_56a_2brev_s	object
msoc_56a_3arev	float64
msoc_56a_3brev	float64
msoc_56a_3brev_s	object
msoc_56a_4arev	float64
msoc_56a_4brev	float64
msoc_56a_4brev_s	object
msoc_56a_5arev	float64
msoc_56a_5brev	float64
msoc_56a_5brev_s	object
msoc_56a_6arev	float64
msoc_56a_6brev	float64
msoc_56a_6brev_s	object
msoc_56a_7arev	float64
msoc_56a_7brev	float64
msoc_56a_7brev_s	float64
msoc_102	float64
msoc_103	float64
msoc_104	float64
msoc_105	float64
msoc_106	float64
msoc_107	float64
msoc_108	float64
msoc_109	float64
msoc_contrib	float64
msoc_confid	float64
msoc_contrib_ppt	float64
msoc_time_endrev	object
questionnaire_complete	int64
survey	object
